instrument_id,customer_behavior_score,number_of_uses,surgery_type,surgery_complexity,surgeon_experience_level,time_since_last_maintenance_days,previous_repair_count,sterilization_frequency,failure_count_last_12_months
INS-0001,0.62,100,General,Medium,Resident,28,4,15,0
INS-0002,0.97,281,Orthopedic,Medium,Intermediate,79,4,15,3
INS-0003,0.84,120,Orthopedic,Low,Intermediate,124,4,28,0
INS-0004,0.76,273,Orthopedic,Medium,Intermediate,170,3,17,4
INS-0005,0.49,97,Orthopedic,Medium,Intermediate,105,2,18,1
INS-0006,0.49,68,General,Medium,Intermediate,84,4,10,4
INS-0007,0.43,55,Orthopedic,High,Expert,159,0,25,3
INS-0008,0.92,133,Neuro,Low,Resident,45,1,15,2
INS-0009,0.76,204,Cardiac,Low,Expert,160,4,32,2
INS-0010,0.82,102,Neuro,Low,Resident,72,0,17,4
INS-0011,0.41,156,Cardiac,Medium,Intermediate,163,3,24,6
INS-0012,0.98,150,Neuro,High,Expert,102,0,21,1
INS-0013,0.9,97,Neuro,Low,Resident,14,0,19,1
INS-0014,0.53,184,Cardiac,Medium,Intermediate,175,3,25,2
INS-0015,0.51,236,General,High,Intermediate,34,3,24,5
INS-0016,0.51,118,Orthopedic,High,Expert,107,1,20,2
INS-0017,0.58,60,Neuro,Low,Expert,21,4,33,1
INS-0018,0.71,192,General,Low,Expert,159,0,16,5
INS-0019,0.66,241,Orthopedic,Medium,Intermediate,146,2,17,2
INS-0020,0.57,180,General,Low,Resident,93,2,20,3
INS-0021,0.77,171,General,Medium,Resident,38,1,18,3
INS-0022,0.48,118,Orthopedic,High,Expert,118,2,16,4
INS-0023,0.58,72,Neuro,High,Resident,36,1,24,3
INS-0024,0.62,230,General,High,Intermediate,64,4,24,2
INS-0025,0.67,86,Neuro,High,Resident,142,1,25,1
INS-0026,0.87,58,Neuro,Low,Intermediate,61,3,12,2
INS-0027,0.52,64,Neuro,Low,Expert,22,3,25,3
INS-0028,0.71,180,Orthopedic,Medium,Resident,51,3,24,1
INS-0029,0.76,142,Cardiac,Medium,Intermediate,152,3,34,1
INS-0030,0.43,247,Neuro,Medium,Expert,88,3,10,2
INS-0031,0.76,66,Cardiac,Medium,Expert,27,3,23,2
INS-0032,0.5,203,Cardiac,Medium,Expert,59,3,33,2
INS-0033,0.44,198,General,High,Expert,11,3,31,2
INS-0034,0.97,121,Neuro,High,Resident,96,3,20,1
INS-0035,0.98,198,Neuro,High,Intermediate,116,4,12,1
INS-0036,0.89,170,Neuro,Medium,Resident,150,3,18,2
INS-0037,0.58,60,Cardiac,High,Intermediate,56,1,15,4
INS-0038,0.46,215,Orthopedic,High,Expert,98,4,32,2
INS-0039,0.81,121,Cardiac,High,Resident,21,2,25,2
INS-0040,0.66,155,Neuro,High,Expert,22,0,20,9
INS-0041,0.47,265,Neuro,Low,Intermediate,146,4,27,3
INS-0042,0.7,174,Neuro,Medium,Expert,68,3,26,2
INS-0043,0.42,84,Cardiac,Medium,Resident,52,4,26,5
INS-0044,0.95,168,Neuro,Low,Resident,83,0,12,3
INS-0045,0.56,63,General,High,Intermediate,32,0,28,3
INS-0046,0.8,296,Neuro,High,Intermediate,88,3,33,2
INS-0047,0.59,63,Orthopedic,High,Resident,32,3,32,1
INS-0048,0.71,59,General,Medium,Resident,110,1,24,5
INS-0049,0.73,189,Neuro,Medium,Resident,171,0,19,5
